Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST_152,52,113664,18112,313,60,No
CUST_153,27,65939,36021,458,60,No
CUST_154,42,71493,49553,793,36,No
CUST_155,48,124188,5968,628,60,No
CUST_156,22,113326,5368,382,24,No
CUST_157,62,60953,13424,321,24,No
CUST_158,26,85785,40010,431,60,Yes
CUST_159,48,39309,40851,764,12,No
CUST_160,48,74195,30496,755,36,No
CUST_161,64,135662,35936,601,24,No
CUST_162,64,45901,18322,566,60,Yes
CUST_163,40,43576,6469,694,60,No
CUST_164,50,51508,42493,419,24,No
CUST_165,31,94711,9259,545,24,Yes
CUST_166,48,45464,41390,337,12,No
CUST_167,45,80281,15292,544,60,Yes
CUST_168,59,36260,31841,320,60,Yes
CUST_169,53,144997,33365,409,48,Yes
CUST_170,21,55440,22207,693,12,No
CUST_171,47,115082,41199,709,24,Yes
CUST_172,33,125583,27912,307,24,No
CUST_173,61,76683,41919,743,36,No
CUST_174,23,144206,41981,627,24,Yes
CUST_175,59,61430,20235,589,60,No
CUST_176,26,21987,46757,810,24,No
CUST_177,28,134778,38547,660,60,No
CUST_178,47,45105,48810,518,60,Yes
CUST_179,29,98484,24276,705,12,No
CUST_180,57,138747,36923,519,24,No
CUST_181,53,33026,10534,406,12,Yes
CUST_182,62,88309,31469,585,60,Yes
CUST_183,64,65927,41074,307,24,Yes
CUST_184,44,95414,40670,488,24,Yes
CUST_185,35,77535,37563,380,12,No
CUST_186,52,62946,41486,407,12,No
CUST_187,52,146503,5021,620,60,No
CUST_188,44,76561,39268,645,60,No
CUST_189,61,30377,46802,627,24,No
CUST_190,32,73592,20799,601,24,No
CUST_191,59,27347,31336,499,48,No
CUST_192,22,53776,8641,718,48,No
CUST_193,23,23783,26596,338,36,No
CUST_194,57,75798,37959,606,60,No
CUST_195,37,24298,18306,303,36,Yes
CUST_196,22,90204,13587,376,36,No
CUST_197,22,106207,36359,767,12,No
CUST_198,48,120356,26498,478,12,No
CUST_199,43,75161,9662,575,48,No
CUST_200,57,80652,42094,451,36,No
CUST_201,52,54484,46833,463,48,No
CUST_202,53,118614,32197,589,60,Yes
CUST_203,21,149572,25719,677,24,Yes
CUST_204,39,132695,29665,609,12,No
CUST_205,22,40922,48239,688,60,No
CUST_206,64,54028,30032,482,60,No
CUST_207,46,131461,17641,605,12,Yes
CUST_208,52,40316,46964,371,12,No
CUST_209,26,96996,35028,518,36,No
CUST_210,52,36968,20651,472,48,Yes
CUST_211,24,50266,13536,571,60,No
CUST_212,31,145679,11273,767,36,No
CUST_213,37,115745,11284,568,36,No
CUST_214,58,44000,30692,319,60,No
CUST_215,44,143239,13817,802,60,No
CUST_216,25,34011,33955,446,24,No
CUST_217,54,22866,31555,728,48,No
CUST_218,26,132669,25378,464,60,No
CUST_219,42,25898,46182,609,12,No
CUST_220,31,38395,22127,817,24,No
CUST_221,36,59019,22952,313,48,No
CUST_222,53,123243,16539,431,12,No
CUST_223,29,24006,19692,738,12,No
CUST_224,26,54393,23120,562,48,Yes
CUST_225,36,30956,18334,524,24,Yes
CUST_226,49,70042,33615,557,12,No
CUST_227,23,116199,12903,533,36,No
CUST_228,40,26078,33527,635,48,No
CUST_229,56,49631,20629,708,48,Yes
CUST_230,39,115676,22740,323,60,No
CUST_231,46,141724,38782,570,24,No
CUST_232,23,82901,31708,394,36,No
CUST_233,39,127227,15860,441,36,Yes
CUST_234,40,89497,22438,380,60,Yes
CUST_235,52,114813,6764,573,12,No
CUST_236,27,137192,11009,575,12,Yes
CUST_237,61,61574,25842,764,36,No
CUST_238,53,138494,47372,507,24,Yes
CUST_239,60,51417,38435,595,12,Yes
CUST_240,59,108020,8370,338,48,Yes
CUST_241,38,103639,43744,587,60,No
CUST_242,60,85006,25454,423,24,Yes
CUST_243,21,114881,46381,582,12,Yes
CUST_244,31,131862,43367,479,36,No
CUST_245,48,59454,8650,396,60,No
CUST_246,45,21587,30708,490,12,No
CUST_247,43,141688,47662,373,36,No
CUST_248,51,128107,8190,746,12,No
CUST_249,50,135584,13789,796,60,No
CUST_250,62,74710,37125,783,48,No
CUST_251,55,143157,38159,415,48,No
CUST_252,27,106567,22459,834,36,No
CUST_253,36,111748,40418,397,48,Yes
CUST_254,46,95886,23768,627,60,No
CUST_255,22,38816,20563,706,36,No
CUST_256,21,105824,32885,612,12,No
CUST_257,32,49432,26885,447,24,Yes
CUST_258,25,129758,11895,641,12,No
CUST_259,57,68617,28958,794,60,No
CUST_260,52,92373,6531,322,36,Yes
CUST_261,29,54217,10481,404,12,No
CUST_262,61,40884,28932,521,36,No
CUST_263,55,25454,26360,314,48,No
CUST_264,39,94960,48642,377,24,No
CUST_265,36,122421,29829,621,60,No
CUST_266,23,127173,24932,540,12,No
CUST_267,40,63618,43931,317,24,No
CUST_268,44,103948,43032,753,60,No
CUST_269,53,82671,20890,742,60,No
CUST_270,44,67111,23807,576,48,No
CUST_271,31,59613,16767,723,36,No
CUST_272,28,105678,13071,775,36,Yes
CUST_273,56,140592,31149,326,24,Yes
CUST_274,58,122928,20540,813,48,No
CUST_275,60,144917,40676,763,60,No
CUST_276,40,79993,9712,662,48,No
CUST_277,55,148652,31201,682,48,Yes
CUST_278,45,28848,49958,824,24,No
CUST_279,55,134853,24899,681,36,No
CUST_280,45,98672,24787,483,48,Yes
CUST_281,49,139279,25982,493,48,Yes
CUST_282,38,86125,27606,761,48,No
CUST_283,38,106444,15150,355,12,Yes
CUST_284,22,137509,25393,529,48,Yes
CUST_285,55,81602,42259,788,48,No
CUST_286,36,92045,32750,327,60,Yes
CUST_287,61,125997,13593,483,12,Yes
CUST_288,56,62222,22358,724,48,No
CUST_289,53,69223,21607,674,48,Yes
CUST_290,24,130012,42381,340,24,Yes
CUST_291,53,131246,29811,783,24,Yes
CUST_292,34,85333,33074,559,12,Yes
CUST_293,41,72732,25595,740,60,No
CUST_294,40,142650,49194,383,12,Yes
CUST_295,28,69420,31853,345,12,No
CUST_296,27,95504,13183,739,24,No
CUST_297,23,22462,25661,818,24,No
CUST_298,37,29460,46169,737,60,No
CUST_299,53,119319,41495,435,48,Yes
CUST_300,32,145602,18703,482,60,Yes
CUST_301,42,29275,35815,471,48,Yes
CUST_302,42,114213,34565,838,36,No
CUST_303,50,33269,27942,419,24,No
CUST_304,58,149593,47986,580,36,Yes
CUST_305,58,142672,38161,607,36,No
CUST_306,28,85942,46803,576,24,No
CUST_307,47,92920,14716,829,36,No
CUST_308,47,140737,46563,594,12,No
CUST_309,54,42553,38349,352,48,No
CUST_310,41,44366,47899,731,60,No
CUST_311,50,64036,5132,351,24,Yes
CUST_312,53,37369,8385,371,12,No
CUST_313,48,31795,41538,327,60,No
CUST_314,53,90021,40036,768,60,No
CUST_315,25,127205,38743,846,60,No
CUST_316,39,88154,45373,700,36,No
CUST_317,24,50143,12213,500,36,No
CUST_318,55,49425,49223,765,36,No
CUST_319,37,108209,31119,678,36,Yes
CUST_320,64,95139,7835,476,12,No
CUST_321,48,125232,7738,351,36,Yes
CUST_322,50,25368,47317,378,24,No
CUST_323,49,24621,9134,684,60,No
CUST_324,26,78829,30892,307,12,No
CUST_325,55,149036,44601,513,36,Yes
CUST_326,61,80294,13353,324,60,Yes
CUST_327,57,34719,20690,749,12,No
CUST_328,44,49227,6909,756,60,No
CUST_329,49,129430,30703,760,12,No
CUST_330,51,27566,19496,497,48,Yes
CUST_331,55,32306,17062,393,12,No
CUST_332,53,73822,14850,736,36,No
CUST_333,41,44042,32701,826,60,No
CUST_334,52,35086,39731,677,60,No
CUST_335,43,37387,10153,403,60,No
CUST_336,53,47042,15481,338,24,No
CUST_337,23,109424,38734,757,24,No
CUST_338,38,71618,5889,663,36,No
CUST_339,45,112050,24445,434,48,No
CUST_340,62,38323,11461,673,24,No
CUST_341,51,38019,43934,531,12,No
CUST_342,23,95426,33205,338,36,Yes
CUST_343,60,60863,28351,346,48,No
CUST_344,44,140953,21006,335,12,Yes
CUST_345,52,131023,49149,394,60,Yes
CUST_346,42,30283,15940,660,24,No
CUST_347,43,38279,16258,824,12,No
CUST_348,22,66999,29485,445,48,No
CUST_349,47,82780,28763,667,36,Yes
CUST_350,62,42908,45048,364,12,No
CUST_351,22,81584,6067,527,36,Yes
CUST_352,46,146278,25607,819,60,No
CUST_353,37,133002,48883,480,48,No
CUST_354,60,70225,14018,800,48,No
CUST_355,53,57952,20187,454,24,Yes
CUST_356,29,120706,42375,834,48,No
CUST_357,63,57663,8985,734,12,No
CUST_358,59,142019,48052,398,12,No
CUST_359,49,129708,24563,671,12,Yes
CUST_360,62,81381,42306,661,60,No
CUST_361,46,67929,23608,411,48,No
CUST_362,55,29343,44139,752,48,No
CUST_363,45,96173,6726,468,12,Yes
CUST_364,44,120260,31582,438,24,No
CUST_365,33,59791,10791,530,24,Yes
CUST_366,27,49134,13458,538,48,No
CUST_367,56,132366,22221,552,48,Yes
CUST_368,40,67101,25968,735,36,No
CUST_369,21,89443,22070,721,48,No
CUST_370,28,119111,32937,602,12,No
CUST_371,36,77530,46831,371,60,No
CUST_372,34,66799,47933,562,48,Yes
CUST_373,32,24827,42415,521,48,No
CUST_374,43,116143,47770,376,12,No
CUST_375,35,82653,25802,361,36,Yes
CUST_376,48,33699,48601,770,48,No
CUST_377,54,122828,15420,456,24,Yes
CUST_378,22,133497,11642,424,24,No
CUST_379,52,111419,24775,460,24,Yes
CUST_380,43,134527,33754,840,60,No
CUST_381,42,136972,48310,834,60,No
CUST_382,45,25313,9357,405,48,Yes
CUST_383,42,33598,26263,430,48,No
CUST_384,42,131362,18201,656,48,Yes
CUST_385,62,135445,7739,301,60,Yes
CUST_386,26,48807,18231,532,48,Yes
CUST_387,35,90423,47278,668,12,Yes
CUST_388,63,89390,47495,550,36,Yes
CUST_389,57,65226,26168,407,24,No
CUST_390,53,79550,37624,575,24,No
CUST_391,28,100072,15635,479,12,No
CUST_392,64,23558,14964,592,48,Yes
CUST_393,64,95308,32785,474,60,No
CUST_394,25,70113,34510,422,48,No
CUST_395,59,72999,22261,526,48,Yes
CUST_396,24,75878,24254,743,24,No
CUST_397,26,56343,16392,727,24,No
CUST_398,52,78219,17336,382,60,No
CUST_399,50,55186,16939,364,24,Yes
CUST_400,55,56966,32412,580,48,Yes
CUST_401,60,53769,21676,690,12,No
CUST_402,36,139932,14843,727,60,No
CUST_403,33,146264,30112,406,12,Yes
CUST_404,62,125423,35598,847,48,No
CUST_405,50,73218,40454,561,60,No
CUST_406,39,39229,38001,458,12,No
CUST_407,37,95209,32228,564,60,No
CUST_408,39,47877,19429,767,48,No
CUST_409,48,78001,23758,501,60,Yes
CUST_410,46,117137,7272,454,48,Yes
CUST_411,57,58084,22350,312,60,Yes
CUST_412,46,101780,27538,596,60,Yes
CUST_413,43,112892,8400,797,24,No
CUST_414,29,36806,20371,544,48,No
CUST_415,32,108635,42310,599,36,No
CUST_416,21,130177,41291,661,60,Yes
CUST_417,21,57034,23147,653,12,No
CUST_418,54,60317,8291,820,24,No
CUST_419,52,75468,40256,685,24,No
CUST_420,45,39094,15892,611,60,No
CUST_421,60,77796,39326,713,36,No
CUST_422,21,30589,42458,577,24,Yes
CUST_423,36,77221,43889,655,48,Yes
CUST_424,59,144855,49966,824,60,Yes
CUST_425,25,21657,42207,315,60,No
CUST_426,42,118300,45288,344,36,Yes
CUST_427,49,137229,30995,620,48,No
CUST_428,23,59531,10409,625,48,No
CUST_429,32,72227,47438,447,36,Yes
CUST_430,46,23164,49874,654,12,Yes
CUST_431,36,113078,49702,535,48,No
CUST_432,57,103973,34823,404,12,No
CUST_433,42,61247,12869,773,12,No
CUST_434,49,124041,40724,695,60,Yes
CUST_435,34,39601,27401,745,60,Yes
CUST_436,48,113966,30958,519,24,Yes
CUST_437,25,70599,15766,741,60,Yes
CUST_438,50,91545,24768,327,48,Yes
CUST_439,25,135295,35794,774,48,No
CUST_440,32,24552,31145,604,12,Yes
CUST_441,36,136452,15086,704,48,No
CUST_442,46,29417,48203,812,60,No
CUST_443,46,78579,31442,801,60,No
CUST_444,41,127525,21412,647,60,No
CUST_445,59,88207,30596,539,36,Yes
CUST_446,56,92055,15255,636,48,No
CUST_447,53,122266,47406,325,24,Yes
CUST_448,50,98270,45524,708,48,No
CUST_449,57,131426,28332,376,48,Yes
CUST_450,43,137865,49624,516,36,Yes
CUST_451,30,23722,20764,627,48,No
CUST_452,25,90442,32563,322,12,No
CUST_453,56,115632,27139,609,60,No
CUST_454,54,60031,41370,566,60,Yes
CUST_455,51,99235,10062,714,36,No
CUST_456,30,41438,49645,566,60,Yes
CUST_457,39,78819,12244,632,12,No
CUST_458,52,63856,11372,749,36,No
CUST_459,21,53576,44873,546,24,No
CUST_460,25,61938,24965,335,60,Yes
CUST_461,24,69028,49997,700,48,No
CUST_462,36,79807,21956,327,12,Yes
CUST_463,44,69877,45473,519,12,Yes
CUST_464,36,117783,18894,705,60,No
CUST_465,22,63461,38382,570,24,No
CUST_466,48,113474,9050,810,48,No
CUST_467,52,60469,21709,585,24,Yes
CUST_468,47,103136,20722,753,24,No
CUST_469,40,40435,20210,616,60,No
CUST_470,44,104117,41545,596,48,Yes
CUST_471,32,34191,43674,637,60,Yes
CUST_472,55,104726,39489,606,60,Yes
CUST_473,53,143658,22733,727,12,No
CUST_474,53,135660,25080,650,60,No
CUST_475,63,47386,41664,810,36,No
CUST_476,57,51721,44709,824,48,No
CUST_477,32,74786,43014,791,12,No
CUST_478,23,33704,46152,308,48,Yes
CUST_479,21,76635,32250,796,12,No
CUST_480,53,22123,25229,739,36,No
CUST_481,60,110710,21475,407,60,No
CUST_482,30,129837,48876,544,12,No
CUST_483,63,134912,34011,554,12,No
CUST_484,64,82993,13128,332,12,Yes
CUST_485,49,132752,37450,322,36,Yes
CUST_486,33,100122,23897,348,48,Yes
CUST_487,32,117512,13168,761,36,Yes
CUST_488,51,45416,11861,635,12,Yes
CUST_489,22,21814,46758,657,12,No
CUST_490,55,98537,18750,421,60,Yes
CUST_491,43,70258,21988,743,36,No
CUST_492,37,36508,7979,658,36,No
CUST_493,46,105166,28524,645,24,No
CUST_494,28,98916,12065,492,48,No
CUST_495,49,133710,42684,715,24,No
CUST_496,46,55699,28184,676,24,No
CUST_497,30,66335,38365,762,48,No
CUST_498,46,66806,28704,445,60,Yes
CUST_499,54,97853,10622,777,60,No
CUST_500,61,83768,23261,707,48,No
CUST_501,27,55739,49932,585,48,No
CUST_502,24,54785,33419,410,36,No
CUST_503,31,51980,39467,349,36,Yes
CUST_504,49,109335,30605,313,36,No
CUST_505,56,120719,34171,433,36,No
CUST_506,45,114702,27164,642,12,No
CUST_507,41,105016,18796,585,12,Yes
CUST_508,56,21609,41854,613,60,No
CUST_509,30,86253,36320,596,12,No
CUST_510,57,105481,5665,463,12,No
CUST_511,29,111128,37694,796,36,Yes
CUST_512,44,48141,29230,315,36,No
CUST_513,55,50009,27995,643,48,Yes
CUST_514,55,147581,31784,377,36,Yes
CUST_515,56,130966,19605,645,48,No
CUST_516,38,26782,22463,371,48,Yes
CUST_517,59,112072,13419,569,12,No
CUST_518,52,119352,38837,586,36,No
CUST_519,44,45933,10263,365,12,Yes
CUST_520,43,97154,45719,367,36,No
CUST_521,52,28307,39131,492,12,No
CUST_522,57,112207,42276,354,12,Yes
CUST_523,32,126209,39523,678,12,No
CUST_524,33,128297,5519,467,60,Yes
CUST_525,43,95874,36106,708,12,No
CUST_526,45,58346,49504,807,24,No
CUST_527,55,132138,15514,836,24,No
CUST_528,61,70772,12233,401,24,Yes
CUST_529,50,92084,6102,721,48,No
CUST_530,37,60149,5597,777,12,No
CUST_531,40,106700,24657,419,24,No
CUST_532,45,47526,43549,590,48,Yes
CUST_533,42,116758,48565,787,24,No
CUST_534,33,105712,11256,460,36,Yes
CUST_535,39,148447,48148,377,60,Yes
CUST_536,56,88477,34401,337,12,No
CUST_537,32,25695,46548,693,60,No
CUST_538,61,59169,11554,740,60,No
CUST_539,39,67947,17664,839,36,No
CUST_540,32,67224,47367,761,36,No
CUST_541,29,65865,29386,593,36,Yes
CUST_542,27,45553,9846,699,48,Yes
CUST_543,48,124501,31205,391,24,Yes
CUST_544,34,80410,30570,305,12,No
CUST_545,51,123754,35255,570,36,No
CUST_546,39,110895,26182,398,12,No
CUST_547,36,44816,44373,825,12,No
CUST_548,25,75026,48019,493,12,Yes
CUST_549,55,70705,21043,456,36,No
CUST_550,32,81922,40754,414,36,Yes
CUST_551,45,135700,5400,695,24,No
CUST_552,41,93914,24239,821,36,No
CUST_553,56,21881,15416,513,36,Yes
CUST_554,43,59567,8412,832,12,No
CUST_555,36,67365,21440,314,24,Yes
CUST_556,59,147928,29406,718,60,No
CUST_557,62,99211,6875,667,36,No
CUST_558,59,90122,42066,512,36,Yes
CUST_559,34,45006,41536,304,60,No
CUST_560,51,61198,10752,530,12,No
CUST_561,25,42831,26217,500,24,No
CUST_562,55,120649,17489,701,12,No
CUST_563,43,36459,6353,448,48,No
CUST_564,49,52443,31986,791,36,No
CUST_565,63,62316,26371,525,48,Yes
CUST_566,31,116131,44365,468,36,Yes
CUST_567,38,84486,19691,451,48,Yes
CUST_568,32,25877,9311,523,60,No
CUST_569,29,59553,15794,803,36,No
CUST_570,30,134137,7934,849,36,No
CUST_571,64,24922,21406,343,48,No
CUST_572,37,142778,15394,803,24,No
CUST_573,58,137018,31872,540,48,Yes
CUST_574,27,24686,46708,650,36,No
CUST_575,33,52766,46093,322,36,No
CUST_576,60,99943,25800,342,24,Yes
CUST_577,62,52006,48397,765,12,No
CUST_578,29,51422,42909,339,24,Yes
CUST_579,47,136590,26352,602,12,Yes
CUST_580,22,148886,41439,474,36,Yes
CUST_581,25,32205,33312,831,60,No
CUST_582,49,106590,45060,760,60,No
CUST_583,57,43527,20438,492,48,No
CUST_584,58,131483,28385,543,24,Yes
CUST_585,39,38443,49999,579,24,No
CUST_586,28,36524,23482,335,60,No
CUST_587,21,136477,37471,839,12,Yes
CUST_588,42,48202,48877,453,24,Yes
CUST_589,37,85552,46212,322,12,Yes
CUST_590,27,66142,18026,390,12,No
CUST_591,45,81692,47089,689,12,No
CUST_592,24,102384,24648,658,12,No
CUST_593,56,40855,10435,849,48,No
CUST_594,26,103747,13493,527,48,No
CUST_595,51,80372,11691,501,60,Yes
CUST_596,39,45095,7763,649,48,No
CUST_597,64,58724,25389,337,24,No
CUST_598,59,69241,36498,799,48,Yes
CUST_599,47,123119,41009,342,24,No
CUST_600,30,72003,40825,816,24,No
CUST_601,46,88379,21934,367,12,No
CUST_602,39,114837,10574,422,60,Yes
CUST_603,59,111996,43179,635,12,No
CUST_604,23,117454,6587,452,12,No
CUST_605,33,114283,47782,461,48,No
CUST_606,48,35972,43688,513,48,No
CUST_607,40,143805,16688,675,24,No
CUST_608,48,113846,9409,742,48,No
CUST_609,28,42927,10783,722,48,No
CUST_610,61,140589,38480,837,36,No
CUST_611,59,135657,31751,529,24,No
CUST_612,21,86630,43174,358,24,No
CUST_613,23,124428,17041,395,36,No
CUST_614,33,142035,28227,561,24,Yes
CUST_615,48,72347,40201,653,60,No
CUST_616,45,119708,41069,611,60,No
CUST_617,53,146244,21654,435,36,Yes
CUST_618,58,108860,31370,772,48,No
CUST_619,26,106210,34482,729,60,No
CUST_620,64,89518,16586,836,36,No
CUST_621,52,65283,10322,445,60,Yes
CUST_622,41,101326,18932,823,12,No
CUST_623,36,32205,34299,386,36,No
CUST_624,41,140243,30179,408,24,Yes
CUST_625,31,109874,10257,722,60,No
CUST_626,57,32748,14777,644,24,No
CUST_627,56,41097,16249,565,36,No
CUST_628,55,23092,26390,793,60,No
CUST_629,39,73311,25369,632,24,No
CUST_630,40,42692,17881,712,48,No
CUST_631,38,144954,14587,490,48,Yes
CUST_632,61,43862,33264,441,12,No
CUST_633,34,110396,13791,372,36,No
CUST_634,35,99507,46473,466,24,Yes
CUST_635,51,100152,27375,467,12,No
CUST_636,21,90469,27611,558,36,Yes
CUST_637,23,24926,47026,738,48,No
CUST_638,36,111299,12833,410,24,Yes
CUST_639,43,23969,20754,830,60,No
CUST_640,31,55733,47048,589,48,Yes
CUST_641,32,89855,17577,809,60,No
CUST_642,30,61743,36095,474,60,No
CUST_643,52,59876,26248,601,24,No
CUST_644,36,127445,40282,484,24,No
CUST_645,28,40323,41737,638,60,No
CUST_646,58,36428,36891,809,12,No
CUST_647,32,54578,29124,609,60,No
CUST_648,44,106486,9566,806,60,No
CUST_649,48,128577,7196,645,24,Yes
CUST_650,28,84140,36115,380,36,No
CUST_651,48,146378,24859,673,48,No
CUST_652,56,127325,16345,455,24,Yes
CUST_653,46,103829,39077,731,12,No
CUST_654,28,26364,5864,799,48,No
CUST_655,48,148867,17055,446,24,No
CUST_656,48,55349,43157,780,24,No
CUST_657,57,20691,24747,734,36,No
CUST_658,61,146899,49484,818,12,No
CUST_659,56,115598,16978,368,12,No
CUST_660,47,86467,29599,485,24,No
CUST_661,37,65896,40771,503,36,No
CUST_662,29,77062,22615,312,24,Yes
CUST_663,53,117266,45727,573,60,No
CUST_664,40,99762,49748,597,60,No
CUST_665,33,33861,44349,350,36,No
CUST_666,48,116837,34377,799,24,No
CUST_667,49,133779,35031,668,36,No
CUST_668,33,108302,47733,656,24,Yes
CUST_669,55,121710,16760,302,24,No
CUST_670,26,83928,38714,553,60,No
CUST_671,38,126643,30762,774,48,No
CUST_672,25,135720,39332,805,12,No
CUST_673,45,103231,45100,555,12,Yes
CUST_674,22,61347,9944,449,36,No
CUST_675,30,23121,18877,787,12,No
